,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,Multifamily Housing,Supermarket/Grocery Store,Other - Restaurant/Bar,Single Family Home,Outpatient Rehabilitation/Physical Therapy,Self-Storage Facility,Convenience Store without Gas Station,Bank Branch,Other - Public Services,Other - Technology/Science,Adult Education,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Fast Food Restaurant,Urgent Care/Clinic/Other Outpatient,Other - Lodging/Residential,Courthouse,Lifestyle Center,Parking,Other,Residence Hall/Dormitory,Performing Arts,Movie Theater,Enclosed Mall,Restaurant,Other/Specialty Hospital,Non-Refrigerated Warehouse,nan,Fire Station,Refrigerated Warehouse,Other - Education,Senior Care Community,Medical Office,Laboratory,Pre-school/Daycare,Vocational School,Museum,Distribution Center,Hotel,Strip Mall,Worship Facility,Vocat,Data Center,Library,Food Sales,Prison/Incarceration,Financial Office,Bar/Nightclub,Swimming Pool,College/University,Other - Services,Residential Care Facility,Other - Recreation,Office,Police Station,Other - Utility,K-12 School,Other - Entertainment/Public Assembly,Automobile Dealership,Fitness Center/Health Club/Gym,Food Service,Manufacturing/Industrial Plant,"Personal Services (Health/Beauty, Dry Cleaning, etc)",Retail Store,Other - Mall,Social/Meeting Hall,Convention Center,Wholesale Club/Supercenter,Hospital (General Medical & Surgical),outlier,pct_LargestPropertyUseTypeGFA,pct_SecondLargestPropertyUseTypeGFA,pct_ThirdLargestPropertyUseTypeGFA,pct_Electricity(kBtu),pct_NaturalGas(kBtu),pct_SteamUse(kBtu),LargestPropertyUseType_SiteEnergyUseWN(kBtu),LargestPropertyUseType_Electricity(kBtu),LargestPropertyUseType_NaturalGas(kBtu),LargestPropertyUseType_TotalGHGEmissions,LargestPropertyUseType_pct_Electricity(kBtu),LargestPropertyUseType_pct_NaturalGas(kBtu),SecondLargestPropertyUseType_SiteEnergyUseWN(kBtu),SecondLargestPropertyUseType_Electricity(kBtu),SecondLargestPropertyUseType_NaturalGas(kBtu),SecondLargestPropertyUseType_TotalGHGEmissions,SecondLargestPropertyUseType_pct_Electricity(kBtu),SecondLargestPropertyUseType_pct_NaturalGas(kBtu),ThirdLargestPropertyUseType_SiteEnergyUseWN(kBtu),ThirdLargestPropertyUseType_Electricity(kBtu),ThirdLargestPropertyUseType_NaturalGas(kBtu),ThirdLargestPropertyUseType_TotalGHGEmissions,ThirdLargestPropertyUseType_pct_Electricity(kBtu),ThirdLargestPropertyUseType_pct_NaturalGas(kBtu)
0,2015.0,NonResidential,Hospital,1,SOUTHWEST,47.58730129,-122.3866765,1961.0,1.0,3.0,54863.0,8230.0,46633.0,Hospital (General Medical & Surgical),109726.0,0,0.0,0,0.0,100.0,18.700000000000003,18.699999999999996,58.900000000000006,58.900000000000006,2057288.0,2057288.0,0.0,602957.0,2057373.0,0.0,5.820766091346741e-11,No,Compliant,non identifié comme outlier,14.340000000000003,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,0.0,1.0000413165293338,2.829339446565936e-17,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,NonResidential,Hospital,4,NORTHEAST,47.66231,-122.28146,1953.0,6.0,10.0,879000.0,0.0,879000.0,Hospital (General Medical & Surgical),879000.0,0,0.0,0,0.0,10.0,288.7999878,293.2000122,578.2000122,576.5999756,253832464.0,257764208.0,0.0,33892500.0,115641210.0,1381912.375,138191238.0,False,Compliant,non identifié comme outlier,8145.52,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1.0,0.0,0.0,0.45558085115542984,0.5444190858108677,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2016.0,NonResidential,Hospital,3,EAST,47.60986,-122.32774,1920.0,1.0,8.0,374466.0,0.0,374466.0,Hospital (General Medical & Surgical),1010135.0,0,0.0,0,0.0,74.0,162.30000309999997,165.50000000000003,367.8999939,369.3999939,163945984.0,167207104.0,73885472.0,26395222.0,90060497.0,0.0,5.820766091346741e-11,False,Compliant,non identifié comme outlier,6330.91,16.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.697534622635967,0.0,0.0,0.5493303025952743,3.5504170028018136e-19,0.4506696059111762,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2016.0,NonResidential,Hospital,1,SOUTHWEST,47.58767,-122.38672,1961.0,0.0,3.0,54863.0,0.0,54863.0,Hospital (General Medical & Surgical),109726.0,0,0.0,0,0.0,100.0,18.600000379999997,18.79999924,58.299999240000005,59.09999847,2037720.625,2066851.25,0.0,597221.6875,2037720.0,0.0,5.820766091346741e-11,False,Compliant,non identifié comme outlier,14.21,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0,0.0,0.0,0.9999996932847456,2.8565084045055197e-17,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2015.0,NonResidential,Hospital,4,NORTHEAST,47.66139776,-122.2846958,2013.0,1.0,8.0,330000.0,0.0,330000.0,Hospital (General Medical & Surgical),241500.0,0,0.0,0,0.0,83.0,201.8,201.8,423.9,423.9,48729588.0,48729588.0,0.0,7181878.0,24505585.0,242250.0,24225020.0,No,Compliant,non identifié comme outlier,1457.42,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.7318181818181818,0.0,0.0,0.5028892302557535,0.4971316400212536,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2016.0,NonResidential,Hospital,3,EAST,47.608951,-122.322402,1994.0,7.0,14.0,1765970.0,0.0,1765970.0,Hospital (General Medical & Surgical),1639334.0,Parking,441551.0,0,0.0,54.0,177.8999939,180.5,377.0,378.3999939,291614432.0,295929888.0,134943456.0,40842564.0,139354828.0,173161.2031,17316120.0,False,Compliant,non identifié comme outlier,12307.16,6.969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,0.9282909675702306,0.2500331262705482,0.0,0.4778735642274385,0.059380188700674456,0.4627461510546913,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,12512561.12698399,8505302.55324074,2313602.986111111,295.34363425925926,0.7770975531301773,0.19854974254533714,0.0,0.0,0.0,0.0,0.0,0.0
6,2016.0,NonResidential,Hospital,6,BALLARD,47.66737,-122.37956,1954.0,4.0,5.0,285333.0,0.0,285333.0,Hospital (General Medical & Surgical),302661.0,Parking,148865.0,0,0.0,14.0,225.0,157.3000031,479.5,251.8000031,68090728.0,47602720.0,0.0,10327434.0,35237205.0,328535.125,32853512.0,False,Compliant,non identifié comme outlier,1990.5000000000002,6.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1.0607290429077605,0.5217237403314724,0.0,0.5175037194491444,0.4824961190016943,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,12512561.12698399,8505302.55324074,2313602.986111111,295.34363425925926,0.7770975531301773,0.19854974254533714,0.0,0.0,0.0,0.0,0.0,0.0
7,2016.0,NonResidential,Hospital,4,NORTHEAST,47.66201,-122.28386,2013.0,1.0,8.0,330000.0,0.0,330000.0,Hospital (General Medical & Surgical),241500.0,0,0.0,0,0.0,58.0,239.1999969,239.1999969,490.8999939,490.8999939,57764408.00000001,57764408.00000001,0.0,8119308.5,27703081.0,300613.25,30061325.0,False,Compliant,non identifié comme outlier,1789.69,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.7318181818181818,0.0,0.0,0.4795873784424484,0.5204125869341549,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2015.0,NonResidential,Hospital,5,NORTHWEST,47.71460657,-122.3368526,1966.0,1.0,1.0,415632.00000000006,0.0,415632.0,Hospital (General Medical & Surgical),483520.0,Parking,266833.0,0,0.0,88.0,194.8,197.4,387.9,388.29999999999995,94178647.99999999,95443368.0,0.0,12432580.0,42421724.0,517587.0,51758703.00000001,No,Compliant,non identifié comme outlier,3044.63,6.889999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1.163336797936636,0.6419933980059283,0.0,0.4504388723015009,0.5495800173304677,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,12512561.12698399,8505302.55324074,2313602.986111111,295.34363425925926,0.7770975531301773,0.19854974254533714,0.0,0.0,0.0,0.0,0.0,0.0
9,2015.0,NonResidential,Hospital,3,CENTRAL,47.60710663,-122.3107827,1990.0,1.0,5.0,597519.0,0.0,597519.0,Hospital (General Medical & Surgical),601615.0,Parking,48607.0,0,0.0,45.0,228.8,236.9,434.79999999999995,434.9,137635696.0,142494256.0,0.0,16416700.0,56016106.0,816219.0,81621919.0,No,Compliant,non identifié comme outlier,4725.43,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1.0068550121418733,0.0813480408154385,0.0,0.4069882132902499,0.5930287081920957,0.0,144563486.09615386,71671248.61538461,47442226.23076923,4914.331538461538,0.5648224927026444,0.3364436741578255,12512561.12698399,8505302.55324074,2313602.986111111,295.34363425925926,0.7770975531301773,0.19854974254533714,0.0,0.0,0.0,0.0,0.0,0.0
